ธนาคาร,"('ราคาที่ธนาคารรับซื้อ', 'ธนบัตร')","('ราคาที่ธนาคารรับซื้อ', 'ตั๋วเงิน')","('ราคาที่ธนาคารรับซื้อ', 'เช็คเดินทาง')","('ราคาที่ธนาคารรับซื้อ', 'ตั๋วแลกเงิน&ดราฟ')","('ราคาที่ธนาคารรับซื้อ', 'โอนเงินทางโทรเลข/โอนเงิน')","('ราคาที่ธนาคารขาย', 'ธนบัตร')","('ราคาที่ธนาคารขาย', 'เช็คเดินทาง')","('ราคาที่ธนาคารขาย', 'ตั๋วแลกเงิน&ดราฟ')","('ราคาที่ธนาคารขาย', 'โอนเงินทางโทรเลข/โอนเงิน')"
ธนาคารกสิกรไทย,0.00198,-,-,-,0.00225,0.00258,0.00244,0.00244,0.00244
ธนาคารไทยพาณิชย์,0.002,0.00208,0.00208,-,0.00219,0.0028,0.00251,0.00251,-
ธนาคารกรุงเทพ,2.00,-,-,2.24750,2.27750,2.39,-,2.39000,2.39000
ธนาคารกรุงไทย,-,-,-,-,0.00228,-,0.00243,-,-
ธนาคารกรุงศรีอยุธยา,-,2.06800,-,-,2.08800,-,2.58800,2.58800,2.58800
