ธนาคาร,"('ราคาที่ธนาคารรับซื้อ', 'ธนบัตร')","('ราคาที่ธนาคารรับซื้อ', 'ตั๋วเงิน')","('ราคาที่ธนาคารรับซื้อ', 'เช็คเดินทาง')","('ราคาที่ธนาคารรับซื้อ', 'ตั๋วแลกเงิน&ดราฟ')","('ราคาที่ธนาคารรับซื้อ', 'โอนเงินทางโทรเลข/โอนเงิน')","('ราคาที่ธนาคารขาย', 'ธนบัตร')","('ราคาที่ธนาคารขาย', 'เช็คเดินทาง')","('ราคาที่ธนาคารขาย', 'ตั๋วแลกเงิน&ดราฟ')","('ราคาที่ธนาคารขาย', 'โอนเงินทางโทรเลข/โอนเงิน')"
ธนาคารกสิกรไทย,4.91345,5.16149,-,-,5.21025,5.41031,5.34931,5.34931,5.34931
ธนาคารไทยพาณิชย์,4.8625,5.14,5.14,-,5.185,5.433,5.37875,5.37875,-
ธนาคารกรุงเทพ,4.94,-,-,5.13500,5.17750,5.35,-,5.35250,5.35250
ธนาคารกรุงไทย,5.01,5.1584,-,-,5.1932,5.44,5.3591,-,-
ธนาคารกรุงศรีอยุธยา,4.91000,5.15160,-,-,5.17160,5.42000,5.37160,5.37160,5.37160
