ธนาคาร,"('ราคาที่ธนาคารรับซื้อ', 'ธนบัตร')","('ราคาที่ธนาคารรับซื้อ', 'ตั๋วเงิน')","('ราคาที่ธนาคารรับซื้อ', 'เช็คเดินทาง')","('ราคาที่ธนาคารรับซื้อ', 'ตั๋วแลกเงิน&ดราฟ')","('ราคาที่ธนาคารรับซื้อ', 'โอนเงินทางโทรเลข/โอนเงิน')","('ราคาที่ธนาคารขาย', 'ธนบัตร')","('ราคาที่ธนาคารขาย', 'เช็คเดินทาง')","('ราคาที่ธนาคารขาย', 'ตั๋วแลกเงิน&ดราฟ')","('ราคาที่ธนาคารขาย', 'โอนเงินทางโทรเลข/โอนเงิน')"
ธนาคารกสิกรไทย,0.27011,0.27155,0.27155,-,0.27249,0.28124,0.28042,0.28042,0.28042
ธนาคารไทยพาณิชย์,26.955,27.095,26.995,-,27.215,28.02,27.995,27.995,-
ธนาคารกรุงเทพ,26.93,-,-,27.15000,27.21500,27.70,-,27.87500,27.87500
ธนาคารกรุงไทย,0.2700,0.27033,-,-,0.27221,0.2811,0.28031,-,-
ธนาคารกรุงศรีอยุธยา,27.04000,27.25000,-,-,27.34000,28.30000,27.96500,27.96500,27.96500
