ธนาคาร,"('ราคาที่ธนาคารรับซื้อ', 'ธนบัตร')","('ราคาที่ธนาคารรับซื้อ', 'ตั๋วเงิน')","('ราคาที่ธนาคารรับซื้อ', 'เช็คเดินทาง')","('ราคาที่ธนาคารรับซื้อ', 'ตั๋วแลกเงิน&ดราฟ')","('ราคาที่ธนาคารรับซื้อ', 'โอนเงินทางโทรเลข/โอนเงิน')","('ราคาที่ธนาคารขาย', 'ธนบัตร')","('ราคาที่ธนาคารขาย', 'เช็คเดินทาง')","('ราคาที่ธนาคารขาย', 'ตั๋วแลกเงิน&ดราฟ')","('ราคาที่ธนาคารขาย', 'โอนเงินทางโทรเลข/โอนเงิน')"
ธนาคารกสิกรไทย,1.81917,-,-,-,-,2.50303,-,-,-
ธนาคารไทยพาณิชย์,-,-,-,-,-,2.4,-,-,-
ธนาคารกรุงเทพ,2.01,-,-,-,-,2.39,-,-,-
ธนาคารกรุงไทย,-,-,-,-,-,-,-,-,-
ธนาคารกรุงศรีอยุธยา,1.59000,2.25409,-,-,2.27409,2.53000,2.35409,2.35409,2.35409
