ธนาคาร,"('ราคาที่ธนาคารรับซื้อ', 'ธนบัตร')","('ราคาที่ธนาคารรับซื้อ', 'ตั๋วเงิน')","('ราคาที่ธนาคารรับซื้อ', 'เช็คเดินทาง')","('ราคาที่ธนาคารรับซื้อ', 'ตั๋วแลกเงิน&ดราฟ')","('ราคาที่ธนาคารรับซื้อ', 'โอนเงินทางโทรเลข/โอนเงิน')","('ราคาที่ธนาคารขาย', 'ธนบัตร')","('ราคาที่ธนาคารขาย', 'เช็คเดินทาง')","('ราคาที่ธนาคารขาย', 'ตั๋วแลกเงิน&ดราฟ')","('ราคาที่ธนาคารขาย', 'โอนเงินทางโทรเลข/โอนเงิน')"
ธนาคารกสิกรไทย,36.3138,36.51093,36.51093,-,36.60446,37.41766,37.33844,37.33844,37.33844
ธนาคารไทยพาณิชย์,36.3325,36.525,36.395,-,36.615,37.40875,37.3375,37.3375,-
ธนาคารกรุงเทพ,36.29,-,-,36.50250,36.59000,37.28,-,37.32500,37.32500
ธนาคารกรุงศรีอยุธยา,36.38000,36.48359,-,-,36.60359,37.46000,37.36359,37.36359,37.36359
