ธนาคาร,"('ราคาที่ธนาคารรับซื้อ', 'ธนบัตร')","('ราคาที่ธนาคารรับซื้อ', 'ตั๋วเงิน')","('ราคาที่ธนาคารรับซื้อ', 'เช็คเดินทาง')","('ราคาที่ธนาคารรับซื้อ', 'ตั๋วแลกเงิน&ดราฟ')","('ราคาที่ธนาคารรับซื้อ', 'โอนเงินทางโทรเลข/โอนเงิน')","('ราคาที่ธนาคารขาย', 'ธนบัตร')","('ราคาที่ธนาคารขาย', 'เช็คเดินทาง')","('ราคาที่ธนาคารขาย', 'ตั๋วแลกเงิน&ดราฟ')","('ราคาที่ธนาคารขาย', 'โอนเงินทางโทรเลข/โอนเงิน')"
ธนาคารกสิกรไทย,22.84777,23.04594,23.04594,-,23.10969,24.01013,23.66812,23.66812,23.66812
ธนาคารไทยพาณิชย์,22.8675,22.8875,22.8275,-,23.0075,24.05375,23.75875,23.75875,-
ธนาคารกรุงเทพ,22.85,-,-,22.97500,23.05000,23.73,-,23.69500,23.69500
ธนาคารกรุงศรีอยุธยา,22.77000,22.86053,-,-,22.95053,24.08000,23.83053,23.83053,23.83053
