ธนาคาร,"('ราคาที่ธนาคารรับซื้อ', 'ธนบัตร')","('ราคาที่ธนาคารรับซื้อ', 'ตั๋วเงิน')","('ราคาที่ธนาคารรับซื้อ', 'เช็คเดินทาง')","('ราคาที่ธนาคารรับซื้อ', 'ตั๋วแลกเงิน&ดราฟ')","('ราคาที่ธนาคารรับซื้อ', 'โอนเงินทางโทรเลข/โอนเงิน')","('ราคาที่ธนาคารขาย', 'ธนบัตร')","('ราคาที่ธนาคารขาย', 'เช็คเดินทาง')","('ราคาที่ธนาคารขาย', 'ตั๋วแลกเงิน&ดราฟ')","('ราคาที่ธนาคารขาย', 'โอนเงินทางโทรเลข/โอนเงิน')"
ธนาคารกสิกรไทย,26.00895,26.35299,26.35299,-,26.42777,27.13876,27.00447,27.00447,27.00447
ธนาคารไทยพาณิชย์,25.86375,26.285,26.205,-,26.415,27.1475,27.08375,27.08375,-
ธนาคารกรุงเทพ,26.07,-,-,26.34000,26.40000,27.24,-,27.13500,27.13500
ธนาคารกรุงไทย,26.13,26.39,-,-,26.47,27.02,27.02,-,-
ธนาคารกรุงศรีอยุธยา,26.07000,26.31512,-,-,26.41512,27.13000,27.11512,27.11512,27.11512
