ธนาคาร,"('ราคาที่ธนาคารรับซื้อ', 'ธนบัตร')","('ราคาที่ธนาคารรับซื้อ', 'ตั๋วเงิน')","('ราคาที่ธนาคารรับซื้อ', 'เช็คเดินทาง')","('ราคาที่ธนาคารรับซื้อ', 'ตั๋วแลกเงิน&ดราฟ')","('ราคาที่ธนาคารรับซื้อ', 'โอนเงินทางโทรเลข/โอนเงิน')","('ราคาที่ธนาคารขาย', 'ธนบัตร')","('ราคาที่ธนาคารขาย', 'เช็คเดินทาง')","('ราคาที่ธนาคารขาย', 'ตั๋วแลกเงิน&ดราฟ')","('ราคาที่ธนาคารขาย', 'โอนเงินทางโทรเลข/โอนเงิน')"
ธนาคารกสิกรไทย,32.3913,33.3,33.3,-,33.4,33.74,33.7,33.7,33.7
ธนาคารไทยพาณิชย์,33.15,33.3,33.2,-,33.4,33.85,33.7,33.7,-
ธนาคารกรุงเทพ,32.23,-,-,-,-,33.77,-,-,-
ธนาคารกรุงไทย,32.36,33.32,-,-,33.42,33.76,33.72,-,-
ธนาคารกรุงศรีอยุธยา,32.42000,33.18000,-,-,33.28000,33.80000,33.78000,33.78000,33.78000
