ธนาคาร,"('ราคาที่ธนาคารรับซื้อ', 'ธนบัตร')","('ราคาที่ธนาคารรับซื้อ', 'ตั๋วเงิน')","('ราคาที่ธนาคารรับซื้อ', 'เช็คเดินทาง')","('ราคาที่ธนาคารรับซื้อ', 'ตั๋วแลกเงิน&ดราฟ')","('ราคาที่ธนาคารรับซื้อ', 'โอนเงินทางโทรเลข/โอนเงิน')","('ราคาที่ธนาคารขาย', 'ธนบัตร')","('ราคาที่ธนาคารขาย', 'เช็คเดินทาง')","('ราคาที่ธนาคารขาย', 'ตั๋วแลกเงิน&ดราฟ')","('ราคาที่ธนาคารขาย', 'โอนเงินทางโทรเลข/โอนเงิน')"
ธนาคารกสิกรไทย,24.44776,24.59682,24.59682,-,24.67649,25.78143,25.64192,25.64192,25.64192
ธนาคารไทยพาณิชย์,24.50875,24.59625,24.52625,-,24.69625,25.86875,25.67,25.67,-
ธนาคารกรุงเทพ,24.29,-,-,24.61750,24.69250,25.66,-,25.70750,25.70750
ธนาคารกรุงไทย,24.55,24.64,-,-,24.71,25.76,25.66,-,-
ธนาคารกรุงศรีอยุธยา,24.48000,24.54865,-,-,24.64865,25.76000,25.74695,25.74695,25.74695
